Tier,Domain,Category,AWS,Azure,Google Cloud,Oracle Cloud (OCI),Alibaba Cloud,Tencent Cloud,IBM Cloud
AI & ML,AI & ML,Conversational AI,Lex,Azure Bot Service,Vertex AI Conversation,Digital Assistant,Chatbot,Tencent Chatbot,Watson Assistant
DevOps & Messaging,DevOps,CI/CD pipelines,CodePipeline,Azure DevOps,Cloud Build,OCI DevOps,Cloud DevOps,Tencent DevOps,IBM DevOps
DevOps & Messaging,DevOps,Infrastructure as code,CloudFormation,Azure Resource Manager,Deployment Manager,OCI Resource Manager,ROS,TCCL,IBM Schematics (Terraform)
DevOps & Messaging,DevOps,IDE & cloud dev env,VS Code Toolkit / GitHub Codespaces,Azure Deployment Environments,Cloud Workstations / Cloud Shell,OCI Cloud Shell,Cloud Shell,Tencent Cloud IDE,IBM Cloud Shell
DevOps & Messaging,DevOps,Source control,CodeCommit,Azure Repos,Cloud Source Repositories,OCI Code Repository,Alibaba Code,Tencent Git Service,GitHub Enterprise (IBM)
DevOps & Messaging,DevOps,Artifact registry,ECR,Azure Container Registry,Artifact Registry / GCR,OCI Container Registry,ACR,Tencent TCR,IBM Container Registry
DevOps & Messaging,Messaging,Queues,SQS/SNS,Service Bus,Pub/Sub,OCI Streaming,MNS,CMQ,IBM MQ
DevOps & Messaging,Messaging,Streaming,Kinesis,Event Hubs,Pub/Sub,OCI Streaming,DataHub,CKafka,IBM Event Streams
DevOps & Messaging,Messaging,Notifications,SNS,Notification Hubs,Firebase Cloud Messaging,OCI Notifications,DirectMail,Tencent Push,IBM Push Notifications
DevOps & Messaging,Monitoring,Observability,CloudWatch,Azure Monitor,Cloud Monitoring,OCI Monitoring,CloudMonitor,Cloud Monitor,IBM Monitoring
Security & Compliance,Security,Secrets,Secrets Manager,Key Vault,Secret Manager,OCI Vault,KMS Secrets,Tencent Secrets Manager,Secrets Manager
Security & Compliance,Security,Key Mgmt,KMS,Key Vault,Cloud KMS,OCI Vault,KMS,Cloud KMS,Key Protect
Security & Compliance,Security,WAF,AWS WAF,Azure WAF,Cloud Armor,OCI WAF,WAF,WAF,WAF
Security & Compliance,Security,DDoS,Shield,Azure DDoS Protection,Cloud Armor Advanced,OCI DDoS,Anti-DDoS,Anti-DDoS,IBM CIS
Security & Compliance,Security,Compliance,Config,Azure Policy,Org Policy,Cloud Guard,Cloud Config,Tencent Config,Compliance Center
Security & Compliance,Security,Certificate management,Certificate Manager,Azure Cert Manager,Certificate Manager,OCI Certificates,SSL Certificates,Tencent SSL,IBM Certificate Manager
Security & Compliance,Identity,Identity federation,Cognito,Azure AD B2C,Identity Platform,Identity Federation,IDaaS,Tencent SSO,IBM Security Verify
Specialized & Emerging,Media,Streaming,MediaLive/MediaConvert,Azure Video Indexer,Transcoder API,OCI Media Flow,Video Service,VOD/Live Streaming,IBM Video Streaming
Specialized & Emerging,Media,Packaging & DRM,MediaPackage,Azure Media DRM,Widevine,OCI Media Processing,Alibaba DRM,Tencent DRM,IBM Video Security
Specialized & Emerging,Spatial,AR/VR,Amazon Sumerian,Azure Mixed Reality,ARCore,Oracle AR integrations,Alibaba XR Lab,Tencent XR Cloud,IBM Immersive Experience
Specialized & Emerging,Robotics,Robotics,RoboMaker,Azure Robotics,Google Robotics APIs,Oracle Robotics,Alibaba Robotics,Tencent Robotics,IBM Robotics
Specialized & Emerging,Quantum,Quantum computing,Braket,Azure Quantum,Quantum AI (research),Oracle Quantum (partners),Quantum Lab,Quantum Lab,IBM Quantum
Specialized & Emerging,GIS,Location services,Location Service,Azure Maps,Google Maps Platform,Oracle Spatial,Alibaba Map,Tencent Map,IBM Map Services
Industry,Collaboration,Collaboration suite,Chime,Teams,Google Meet,Oracle Collaboration Suite,DingTalk,Tencent Meeting,Sametime
Industry,Collaboration,Work email,WorkMail,Exchange Online,Gmail,Oracle Mail,Alibaba Mail,Tencent Exmail,IBM Notes/Domino
Industry,Collaboration,CRM & ERP integration,Salesforce integrations,Dynamics 365,Google Workspace integrations,Oracle Fusion Apps,DingTalk,WeCom,IBM Sterling / Maximo
Industry,Financial,Financial cloud,FinCloud,Azure FinServ,Google FinServ,Oracle FinServ,FinCloud,FinTech,IBM FinServ Cloud
Industry,Healthcare,Healthcare cloud,HealthLake,Azure Healthcare APIs,Cloud Healthcare,Oracle Healthcare,Healthcare Cloud,Healthcare Cloud,Watson Health
Industry,Government,Government cloud,GovCloud,Azure Government,Google Public Sector,Oracle Public Sector,GovCloud,GovCloud,Government Cloud
Industry,Retail,Manufacturing cloud,AWS Retail/Manufacturing,Azure Retail/Manufacturing,Google Retail/Manufacturing,Oracle Retail/Manufacturing,Alibaba Retail Cloud,Tencent Retail Cloud,IBM Industry Solutions
